k,combo_id,combo_attrs,combo_values,n,unparsed,accuracy,precision,recall,f1,pass_rate
4,101,Gender|Ethnicity|NativeLanguage|ReviewStyle,Woman|AsianBangladeshi|GermanLang|Nitpicky,50.0,0.0,0.44,0.2,0.04,0.0667,0.92
4,1010,Nationality|Role|Domain|Priority,Danish|CodeOwner|PlatformEng|Testability,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
4,1011,Nationality|Role|Domain|Standard,Saudi|CodeOwner|Backend|StyleGuideFollowed,50.0,0.0,0.44,0.3846,0.2,0.2632,0.84
4,1012,Nationality|Role|Domain|Module,Austrian|Triager|Mobile|FrontendUIModule,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
4,1013,Nationality|Role|Priority|Standard,Danish|CodeOwner|Performance|CIPassed,50.0,0.0,0.48,0.3333,0.04,0.0714,0.88
4,1014,Nationality|Role|Priority|Module,Russian|SoftwareReviewer|Testability|APIModule,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
4,1015,Nationality|Role|Standard|Module,Ethiopian|SoftwareReviewer|CIPassed|FrontendUIModule,50.0,0.0,0.46,0.375,0.12,0.1818,0.9
4,1016,Nationality|Goal|Seniority|Domain,Russian|ReadableCode|Intern|DevOps,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
4,1017,Nationality|Goal|Seniority|Priority,Saudi|WellDocumentedCode|Junior|Testability,50.0,0.0,0.48,0.4545,0.2,0.2778,0.88
4,1018,Nationality|Goal|Seniority|Standard,Austrian|MaintainableCode|Senior|PeerApproved,50.0,0.0,0.46,0.4167,0.2,0.2703,0.86
4,1019,Nationality|Goal|Seniority|Module,Saudi|FastDelivery|Intern|APIModule,50.0,0.0,0.48,0.4286,0.12,0.1875,0.88
4,102,Gender|Ethnicity|NativeLanguage|Role,PreferNotToSay|AsianBangladeshi|EnglishLang|SoftwareReviewer,50.0,0.0,0.46,0.375,0.12,0.1818,0.9
4,1020,Nationality|Goal|Domain|Priority,Danish|FastDelivery|DevOps|SecurityPriority,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
4,1021,Nationality|Goal|Domain|Standard,Russian|ReadableCode|Mobile|CIPassed,50.0,0.0,0.52,0.5714,0.16,0.25,0.88
4,1022,Nationality|Goal|Domain|Module,Ethiopian|WellDocumentedCode|Backend|DatabaseModule,50.0,0.0,0.46,0.4,0.16,0.2286,0.9
4,1023,Nationality|Goal|Priority|Standard,Austrian|ReadableCode|Testability|PeerApproved,50.0,0.0,0.46,0.375,0.12,0.1818,0.94
4,1024,Nationality|Goal|Priority|Module,Russian|ReadableCode|SecurityPriority|FrontendUIModule,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
4,1025,Nationality|Goal|Standard|Module,Saudi|WellTestedCode|SecurityGatePassed|APIModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.88
4,1026,Nationality|Seniority|Domain|Priority,Russian|Intern|Embedded|SecurityPriority,50.0,0.0,0.52,0.6667,0.08,0.1429,0.92
4,1027,Nationality|Seniority|Domain|Standard,Ethiopian|Junior|Backend|PeerApproved,50.0,0.0,0.46,0.4,0.16,0.2286,0.9
4,1028,Nationality|Seniority|Domain|Module,Danish|Senior|Mobile|AuthenticationModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
4,1029,Nationality|Seniority|Priority|Standard,Austrian|Intern|Performance|MergeApproved,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
4,103,Gender|Ethnicity|NativeLanguage|Goal,Woman|OtherMixed|PolishLang|WellDocumentedCode,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
4,1030,Nationality|Seniority|Priority|Module,Danish|Staff|Portability|AuthenticationModule,50.0,0.0,0.54,1.0,0.08,0.1481,0.9
4,1031,Nationality|Seniority|Standard|Module,Saudi|Intern|CIPassed|AuthenticationModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
4,1032,Nationality|Domain|Priority|Standard,Danish|Mobile|Performance|MergeApproved,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
4,1033,Nationality|Domain|Priority|Module,Ethiopian|PlatformEng|Scalability|DatabaseModule,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
4,1034,Nationality|Domain|Standard|Module,Austrian|PlatformEng|StyleGuideFollowed|DatabaseModule,50.0,0.0,0.5,0.5,0.08,0.1379,0.86
4,1035,Nationality|Priority|Standard|Module,Ethiopian|Testability|PeerApproved|UserProfileModule,50.0,0.0,0.5,0.5,0.2,0.2857,0.9
4,1036,Culture|NativeLanguage|AgeRange|ReviewStyle,GermanCulture|PolishLang|LateCareerAdult|BigPicture,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
4,1037,Culture|NativeLanguage|AgeRange|Role,FrenchCulture|EnglishLang|LateCareerAdult|SoftwareReviewer,50.0,0.0,0.44,0.2,0.04,0.0667,0.92
4,1038,Culture|NativeLanguage|AgeRange|Goal,EgyptianCulture|KoreanLang|YoungAdult|FastDelivery,50.0,0.0,0.4,0.2222,0.08,0.1176,0.92
4,1039,Culture|NativeLanguage|AgeRange|Seniority,EgyptianCulture|GermanLang|Elderly|Junior,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
4,104,Gender|Ethnicity|NativeLanguage|Seniority,Woman|OtherMixed|KoreanLang|Junior,50.0,0.0,0.46,0.25,0.04,0.069,0.94
4,1040,Culture|NativeLanguage|AgeRange|Domain,EgyptianCulture|TeluguLang|Aged|PlatformEng,50.0,0.0,0.46,0.25,0.04,0.069,0.9
4,1041,Culture|NativeLanguage|AgeRange|Priority,GermanCulture|PolishLang|LateCareerAdult|Portability,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
4,1042,Culture|NativeLanguage|AgeRange|Standard,GermanCulture|EnglishLang|Aged|SecurityGatePassed,50.0,0.0,0.5,0.5,0.04,0.0741,0.9
4,1043,Culture|NativeLanguage|AgeRange|Module,ThaiCulture|TeluguLang|YoungAdult|AuthenticationModule,50.0,0.0,0.46,0.25,0.04,0.069,0.9
4,1044,Culture|NativeLanguage|ReviewStyle|Role,FrenchCulture|GermanLang|BigPicture|SoftwareReviewer,50.0,0.0,0.44,0.2,0.04,0.0667,0.92
4,1045,Culture|NativeLanguage|ReviewStyle|Goal,IndianCulture|PolishLang|Supportive|WellDocumentedCode,50.0,0.0,0.44,0.3636,0.16,0.2222,0.88
4,1046,Culture|NativeLanguage|ReviewStyle|Seniority,GermanCulture|EnglishLang|Nitpicky|Intern,50.0,0.0,0.42,0.1667,0.04,0.0645,0.94
4,1047,Culture|NativeLanguage|ReviewStyle|Domain,IndianCulture|GermanLang|Nitpicky|DevOps,50.0,0.0,0.44,0.2857,0.08,0.125,0.88
4,1048,Culture|NativeLanguage|ReviewStyle|Priority,EgyptianCulture|PolishLang|Nitpicky|SecurityPriority,50.0,0.0,0.48,0.3333,0.04,0.0714,0.88
4,1049,Culture|NativeLanguage|ReviewStyle|Standard,IndianCulture|GermanLang|Nitpicky|SecurityGatePassed,50.0,0.0,0.5,0.5,0.04,0.0741,0.9
4,105,Gender|Ethnicity|NativeLanguage|Domain,PreferNotToSay|BlackCaribbean|EnglishLang|Embedded,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
4,1050,Culture|NativeLanguage|ReviewStyle|Module,ThaiCulture|EnglishLang|Supportive|APIModule,50.0,0.0,0.42,0.1667,0.04,0.0645,0.9
4,1051,Culture|NativeLanguage|Role|Goal,GermanCulture|GermanLang|QAChecker|ReadableCode,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
4,1052,Culture|NativeLanguage|Role|Seniority,EgyptianCulture|KoreanLang|Reviewer|Junior,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
4,1053,Culture|NativeLanguage|Role|Domain,EgyptianCulture|GermanLang|QAChecker|PlatformEng,50.0,0.0,0.46,0.0,0.0,,0.94
4,1054,Culture|NativeLanguage|Role|Priority,EgyptianCulture|PolishLang|Triager|SecurityPriority,50.0,0.0,0.48,0.3333,0.04,0.0714,0.88
4,1055,Culture|NativeLanguage|Role|Standard,IndianCulture|PolishLang|Triager|CIPassed,50.0,0.0,0.44,0.2,0.04,0.0667,0.88
4,1056,Culture|NativeLanguage|Role|Module,IndianCulture|TeluguLang|Reviewer|APIModule,50.0,0.0,0.52,0.5714,0.16,0.25,0.88
4,1057,Culture|NativeLanguage|Goal|Seniority,EgyptianCulture|TeluguLang|WellTestedCode|Senior,50.0,0.0,0.44,0.3333,0.12,0.1765,0.92
4,1058,Culture|NativeLanguage|Goal|Domain,FrenchCulture|PolishLang|MaintainableCode|Backend,50.0,0.0,0.52,0.5556,0.2,0.2941,0.88
4,1059,Culture|NativeLanguage|Goal|Priority,GermanCulture|KoreanLang|WellTestedCode|Performance,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
4,106,Gender|Ethnicity|NativeLanguage|Priority,PreferNotToSay|OtherMixed|KoreanLang|SecurityPriority,50.0,0.0,0.48,0.3333,0.04,0.0714,0.88
4,1060,Culture|NativeLanguage|Goal|Standard,GermanCulture|KoreanLang|WellTestedCode|SecurityGatePassed,50.0,0.0,0.48,0.3333,0.04,0.0714,0.88
4,1061,Culture|NativeLanguage|Goal|Module,ThaiCulture|EnglishLang|WellDocumentedCode|UserProfileModule,50.0,0.0,0.46,0.375,0.12,0.1818,0.9
4,1062,Culture|NativeLanguage|Seniority|Domain,IndianCulture|PolishLang|Junior|Embedded,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
4,1063,Culture|NativeLanguage|Seniority|Priority,FrenchCulture|GermanLang|Intern|Scalability,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
4,1064,Culture|NativeLanguage|Seniority|Standard,FrenchCulture|KoreanLang|Senior|MergeApproved,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
4,1065,Culture|NativeLanguage|Seniority|Module,EgyptianCulture|TeluguLang|Staff|DatabaseModule,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
4,1066,Culture|NativeLanguage|Domain|Priority,ThaiCulture|KoreanLang|DevOps|Performance,50.0,0.0,0.44,0.2857,0.08,0.125,0.92
4,1067,Culture|NativeLanguage|Domain|Standard,FrenchCulture|GermanLang|DevOps|PeerApproved,50.0,0.0,0.42,0.1667,0.04,0.0645,0.9
4,1068,Culture|NativeLanguage|Domain|Module,FrenchCulture|KoreanLang|Embedded|AuthenticationModule,50.0,0.0,0.5,0.5,0.2,0.2857,0.9
4,1069,Culture|NativeLanguage|Priority|Standard,IndianCulture|KoreanLang|SecurityPriority|SecurityGatePassed,50.0,0.0,0.52,1.0,0.04,0.0769,0.88
4,107,Gender|Ethnicity|NativeLanguage|Standard,Woman|AsianBangladeshi|PolishLang|SecurityGatePassed,50.0,0.0,0.46,0.25,0.04,0.069,0.86
4,1070,Culture|NativeLanguage|Priority|Module,EgyptianCulture|EnglishLang|Testability|FrontendUIModule,50.0,0.0,0.46,0.4167,0.2,0.2703,0.86
4,1071,Culture|NativeLanguage|Standard|Module,FrenchCulture|EnglishLang|SecurityGatePassed|FrontendUIModule,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
4,1072,Culture|AgeRange|ReviewStyle|Role,EgyptianCulture|Elderly|Concise|SoftwareReviewer,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
4,1073,Culture|AgeRange|ReviewStyle|Goal,IndianCulture|LateCareerAdult|BigPicture|WellTestedCode,50.0,0.0,0.46,0.375,0.12,0.1818,0.9
4,1074,Culture|AgeRange|ReviewStyle|Seniority,EgyptianCulture|YoungAdult|Supportive|Intern,50.0,0.0,0.46,0.25,0.04,0.069,0.94
4,1075,Culture|AgeRange|ReviewStyle|Domain,EgyptianCulture|Elderly|Collaborative|PlatformEng,50.0,0.0,0.46,0.25,0.04,0.069,0.9
4,1076,Culture|AgeRange|ReviewStyle|Priority,FrenchCulture|Aged|Supportive|Scalability,50.0,0.0,0.52,0.6,0.12,0.2,0.88
4,1077,Culture|AgeRange|ReviewStyle|Standard,IndianCulture|LateCareerAdult|Supportive|StyleGuideFollowed,50.0,0.0,0.44,0.3333,0.12,0.1765,0.88
4,1078,Culture|AgeRange|ReviewStyle|Module,EgyptianCulture|MiddleAged|Collaborative|APIModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
4,1079,Culture|AgeRange|Role|Goal,ThaiCulture|YoungAdult|CodeOwner|MaintainableCode,50.0,0.0,0.5,0.5,0.2,0.2857,0.86
4,108,Gender|Ethnicity|NativeLanguage|Module,Demigender|AsianBangladeshi|KoreanLang|APIModule,50.0,0.0,0.48,0.4286,0.12,0.1875,0.88
4,1080,Culture|AgeRange|Role|Seniority,GermanCulture|LateCareerAdult|SoftwareReviewer|Junior,50.0,0.0,0.48,0.3333,0.04,0.0714,0.88
4,1081,Culture|AgeRange|Role|Domain,GermanCulture|LateCareerAdult|CodeOwner|DevOps,50.0,0.0,0.46,0.375,0.12,0.1818,0.86
4,1082,Culture|AgeRange|Role|Priority,ThaiCulture|Elderly|Triager|Scalability,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
4,1083,Culture|AgeRange|Role|Standard,EgyptianCulture|LateCareerAdult|SoftwareReviewer|SecurityGatePassed,50.0,0.0,0.5,0.5,0.04,0.0741,0.9
4,1084,Culture|AgeRange|Role|Module,IndianCulture|MiddleAged|SoftwareReviewer|DatabaseModule,50.0,0.0,0.44,0.2,0.04,0.0667,0.88
4,1085,Culture|AgeRange|Goal|Seniority,GermanCulture|MiddleAged|FastDelivery|Intern,50.0,0.0,0.5,0.5,0.04,0.0741,0.9
4,1086,Culture|AgeRange|Goal|Domain,EgyptianCulture|YoungAdult|MaintainableCode|Backend,50.0,0.0,0.44,0.3636,0.16,0.2222,0.88
4,1087,Culture|AgeRange|Goal|Priority,IndianCulture|YoungAdult|MaintainableCode|SecurityPriority,50.0,0.0,0.52,0.6667,0.08,0.1429,0.88
4,1088,Culture|AgeRange|Goal|Standard,FrenchCulture|MiddleAged|FastDelivery|PeerApproved,50.0,0.0,0.46,0.4,0.16,0.2286,0.9
4,1089,Culture|AgeRange|Goal|Module,ThaiCulture|Aged|ReadableCode|AuthenticationModule,50.0,0.0,0.48,0.4444,0.16,0.2353,0.92
4,109,Gender|Ethnicity|AgeRange|ReviewStyle,PreferNotToSay|WhiteIrish|LateCareerAdult|Collaborative,50.0,0.0,0.44,0.3333,0.12,0.1765,0.88
4,1090,Culture|AgeRange|Seniority|Domain,GermanCulture|LateCareerAdult|Senior|Backend,50.0,0.0,0.46,0.3333,0.08,0.129,0.86
4,1091,Culture|AgeRange|Seniority|Priority,ThaiCulture|MiddleAged|Staff|Portability,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
4,1092,Culture|AgeRange|Seniority|Standard,IndianCulture|Aged|Mid|CIPassed,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
4,1093,Culture|AgeRange|Seniority|Module,IndianCulture|Elderly|Staff|UserProfileModule,50.0,0.0,0.42,0.25,0.08,0.1212,0.94
4,1094,Culture|AgeRange|Domain|Priority,EgyptianCulture|Elderly|Embedded|Performance,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
4,1095,Culture|AgeRange|Domain|Standard,FrenchCulture|Aged|Backend|StyleGuideFollowed,50.0,0.0,0.48,0.4444,0.16,0.2353,0.92
4,1096,Culture|AgeRange|Domain|Module,EgyptianCulture|YoungAdult|Backend|UserProfileModule,50.0,0.0,0.44,0.2,0.04,0.0667,0.92
4,1097,Culture|AgeRange|Priority|Standard,IndianCulture|LateCareerAdult|Testability|StyleGuideFollowed,50.0,0.0,0.46,0.4167,0.2,0.2703,0.86
4,1098,Culture|AgeRange|Priority|Module,EgyptianCulture|Elderly|Portability|DatabaseModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
4,1099,Culture|AgeRange|Standard|Module,FrenchCulture|LateCareerAdult|CIPassed|DatabaseModule,50.0,0.0,0.46,0.25,0.04,0.069,0.86
4,11,Gender|Race|Ethnicity|Standard,Demigender|Latino|WhiteIrish|MergeApproved,50.0,0.0,0.48,0.4,0.08,0.1333,0.88
4,110,Gender|Ethnicity|AgeRange|Role,Woman|OtherMixed|YoungAdult|Reviewer,50.0,0.0,0.46,0.25,0.04,0.069,0.9
4,1100,Culture|ReviewStyle|Role|Goal,FrenchCulture|BigPicture|Triager|WellDocumentedCode,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
4,1101,Culture|ReviewStyle|Role|Seniority,ThaiCulture|Collaborative|Reviewer|Staff,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
4,1102,Culture|ReviewStyle|Role|Domain,IndianCulture|Supportive|Reviewer|Backend,50.0,0.0,0.44,0.2,0.04,0.0667,0.88
4,1103,Culture|ReviewStyle|Role|Priority,GermanCulture|Nitpicky|QAChecker|Performance,50.0,0.0,0.5,0.5,0.04,0.0741,0.9
4,1104,Culture|ReviewStyle|Role|Standard,IndianCulture|BigPicture|QAChecker|CIPassed,50.0,0.0,0.44,0.2,0.04,0.0667,0.92
4,1105,Culture|ReviewStyle|Role|Module,GermanCulture|Concise|CodeOwner|APIModule,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
4,1106,Culture|ReviewStyle|Goal|Seniority,ThaiCulture|Supportive|WellTestedCode|Staff,50.0,0.0,0.46,0.3333,0.08,0.129,0.98
4,1107,Culture|ReviewStyle|Goal|Domain,IndianCulture|Nitpicky|WellDocumentedCode|PlatformEng,50.0,0.0,0.5,0.5,0.16,0.2424,0.86
4,1108,Culture|ReviewStyle|Goal|Priority,IndianCulture|BigPicture|MaintainableCode|Scalability,50.0,0.0,0.46,0.375,0.12,0.1818,0.94
4,1109,Culture|ReviewStyle|Goal|Standard,EgyptianCulture|Nitpicky|FastDelivery|MergeApproved,50.0,0.0,0.48,0.4,0.08,0.1333,0.88
4,111,Gender|Ethnicity|AgeRange|Goal,NonBinary|BlackCaribbean|LateCareerAdult|FastDelivery,50.0,0.0,0.44,0.3333,0.12,0.1765,0.92
4,1110,Culture|ReviewStyle|Goal|Module,GermanCulture|Supportive|MaintainableCode|DatabaseModule,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
4,1111,Culture|ReviewStyle|Seniority|Domain,IndianCulture|Nitpicky|Mid|DevOps,50.0,0.0,0.46,0.25,0.04,0.069,0.9
4,1112,Culture|ReviewStyle|Seniority|Priority,GermanCulture|Nitpicky|Senior|SecurityPriority,50.0,0.0,0.5,0.5,0.04,0.0741,0.9
4,1113,Culture|ReviewStyle|Seniority|Standard,IndianCulture|Concise|Junior|StyleGuideFollowed,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
4,1114,Culture|ReviewStyle|Seniority|Module,EgyptianCulture|Collaborative|Mid|UserProfileModule,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
4,1115,Culture|ReviewStyle|Domain|Priority,FrenchCulture|Concise|PlatformEng|Portability,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
4,1116,Culture|ReviewStyle|Domain|Standard,IndianCulture|BigPicture|Embedded|MergeApproved,50.0,0.0,0.52,0.6,0.12,0.2,0.88
4,1117,Culture|ReviewStyle|Domain|Module,EgyptianCulture|Concise|Mobile|FrontendUIModule,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
4,1118,Culture|ReviewStyle|Priority|Standard,FrenchCulture|Concise|Performance|StyleGuideFollowed,50.0,0.0,0.46,0.4,0.16,0.2286,0.9
4,1119,Culture|ReviewStyle|Priority|Module,FrenchCulture|BigPicture|Portability|APIModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
4,112,Gender|Ethnicity|AgeRange|Seniority,PreferNotToSay|WhiteIrish|Elderly|Mid,50.0,0.0,0.42,0.0,0.0,,0.9
4,1120,Culture|ReviewStyle|Standard|Module,ThaiCulture|Collaborative|MergeApproved|FrontendUIModule,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
4,1121,Culture|Role|Goal|Seniority,IndianCulture|CodeOwner|FastDelivery|Staff,50.0,0.0,0.46,0.375,0.12,0.1818,0.9
4,1122,Culture|Role|Goal|Domain,FrenchCulture|Triager|WellDocumentedCode|Backend,50.0,0.0,0.46,0.25,0.04,0.069,0.9
4,1123,Culture|Role|Goal|Priority,FrenchCulture|Triager|MaintainableCode|Scalability,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
4,1124,Culture|Role|Goal|Standard,GermanCulture|Reviewer|ReadableCode|MergeApproved,50.0,0.0,0.48,0.3333,0.04,0.0714,0.88
4,1125,Culture|Role|Goal|Module,GermanCulture|CodeOwner|MaintainableCode|AuthenticationModule,50.0,0.0,0.54,0.625,0.2,0.303,0.9
4,1126,Culture|Role|Seniority|Domain,IndianCulture|SoftwareReviewer|Senior|Mobile,50.0,0.0,0.46,0.25,0.04,0.069,0.94
4,1127,Culture|Role|Seniority|Priority,GermanCulture|CodeOwner|Staff|Performance,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
4,1128,Culture|Role|Seniority|Standard,FrenchCulture|Triager|Junior|StyleGuideFollowed,50.0,0.0,0.44,0.2,0.04,0.0667,0.92
4,1129,Culture|Role|Seniority|Module,IndianCulture|SoftwareReviewer|Junior|FrontendUIModule,50.0,0.0,0.42,0.25,0.08,0.1212,0.94
4,113,Gender|Ethnicity|AgeRange|Domain,Woman|BlackCaribbean|Elderly|DevOps,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
4,1130,Culture|Role|Domain|Priority,EgyptianCulture|QAChecker|Backend|Performance,50.0,0.0,0.44,0.2857,0.08,0.125,0.92
4,1131,Culture|Role|Domain|Standard,EgyptianCulture|Reviewer|DevOps|StyleGuideFollowed,50.0,0.0,0.48,0.4615,0.24,0.3158,0.8
4,1132,Culture|Role|Domain|Module,FrenchCulture|Triager|DevOps|UserProfileModule,50.0,0.0,0.5,0.5,0.04,0.0741,0.9
4,1133,Culture|Role|Priority|Standard,EgyptianCulture|Reviewer|Portability|SecurityGatePassed,50.0,0.0,0.5,0.5,0.04,0.0741,0.9
4,1134,Culture|Role|Priority|Module,EgyptianCulture|SoftwareReviewer|SecurityPriority|APIModule,50.0,0.0,0.46,0.25,0.04,0.069,0.9
4,1135,Culture|Role|Standard|Module,EgyptianCulture|Triager|SecurityGatePassed|DatabaseModule,50.0,0.0,0.46,0.0,0.0,,0.9
4,1136,Culture|Goal|Seniority|Domain,IndianCulture|MaintainableCode|Staff|Backend,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
4,1137,Culture|Goal|Seniority|Priority,ThaiCulture|FastDelivery|Intern|Scalability,50.0,0.0,0.48,0.4444,0.16,0.2353,0.92
4,1138,Culture|Goal|Seniority|Standard,ThaiCulture|MaintainableCode|Junior|CIPassed,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
4,1139,Culture|Goal|Seniority|Module,EgyptianCulture|ReadableCode|Mid|UserProfileModule,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
4,114,Gender|Ethnicity|AgeRange|Priority,TwoSpirit|WhiteIrish|Elderly|Performance,50.0,0.0,0.42,0.1667,0.04,0.0645,0.9
4,1140,Culture|Goal|Domain|Priority,ThaiCulture|ReadableCode|Embedded|Performance,50.0,0.0,0.5,0.5,0.16,0.2424,0.9
4,1141,Culture|Goal|Domain|Standard,GermanCulture|WellDocumentedCode|Backend|CIPassed,50.0,0.0,0.48,0.4444,0.16,0.2353,0.92
4,1142,Culture|Goal|Domain|Module,GermanCulture|WellDocumentedCode|Embedded|DatabaseModule,50.0,0.0,0.48,0.3333,0.04,0.0714,0.88
4,1143,Culture|Goal|Priority|Standard,GermanCulture|WellTestedCode|SecurityPriority|StyleGuideFollowed,50.0,0.0,0.48,0.4545,0.2,0.2778,0.88
4,1144,Culture|Goal|Priority|Module,FrenchCulture|WellTestedCode|Portability|APIModule,50.0,0.0,0.48,0.4444,0.16,0.2353,0.92
4,1145,Culture|Goal|Standard|Module,ThaiCulture|WellTestedCode|StyleGuideFollowed|UserProfileModule,50.0,0.0,0.52,0.5455,0.24,0.3333,0.88
4,1146,Culture|Seniority|Domain|Priority,EgyptianCulture|Junior|Backend|SecurityPriority,50.0,0.0,0.46,0.25,0.04,0.069,0.9
4,1147,Culture|Seniority|Domain|Standard,EgyptianCulture|Staff|Mobile|MergeApproved,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
4,1148,Culture|Seniority|Domain|Module,EgyptianCulture|Junior|DevOps|APIModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.88
4,1149,Culture|Seniority|Priority|Standard,FrenchCulture|Mid|SecurityPriority|StyleGuideFollowed,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
4,115,Gender|Ethnicity|AgeRange|Standard,Woman|WhiteIrish|YoungAdult|MergeApproved,50.0,0.0,0.5,0.5,0.04,0.0741,0.86
4,1150,Culture|Seniority|Priority|Module,IndianCulture|Junior|Scalability|DatabaseModule,50.0,0.0,0.52,0.6,0.12,0.2,0.92
4,1151,Culture|Seniority|Standard|Module,ThaiCulture|Senior|MergeApproved|FrontendUIModule,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
4,1152,Culture|Domain|Priority|Standard,FrenchCulture|DevOps|Performance|SecurityGatePassed,50.0,0.0,0.5,0.5,0.04,0.0741,0.9
4,1153,Culture|Domain|Priority|Module,IndianCulture|Embedded|Performance|UserProfileModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
4,1154,Culture|Domain|Standard|Module,IndianCulture|Mobile|StyleGuideFollowed|DatabaseModule,50.0,0.0,0.44,0.2857,0.08,0.125,0.92
4,1155,Culture|Priority|Standard|Module,IndianCulture|Testability|SecurityGatePassed|FrontendUIModule,50.0,0.0,0.52,0.6667,0.08,0.1429,0.88
