k,combo_id,combo_attrs,combo_values,n,unparsed,accuracy,precision,recall,f1,pass_rate
2,59,Culture|Standard,FrenchCulture|StyleGuideFollowed,50.0,0.0,0.56,0.5333,0.96,0.6857,0.84
2,6,Gender|AgeRange,NonBinary|LateCareerAdult,50.0,0.0,0.52,0.5116,0.88,0.6471,0.88
2,60,Culture|Module,FrenchCulture|AuthenticationModule,50.0,0.0,0.44,0.4444,0.48,0.4615,0.72
2,61,NativeLanguage|AgeRange,EnglishLang|Aged,50.0,0.0,0.54,0.525,0.84,0.6462,0.9
2,62,NativeLanguage|ReviewStyle,PolishLang|Concise,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
2,63,NativeLanguage|Role,TeluguLang|Triager,50.0,0.0,0.5,0.5,0.68,0.5763,0.86
2,64,NativeLanguage|Goal,GermanLang|WellTestedCode,50.0,0.0,0.56,0.5385,0.84,0.6562,0.88
2,65,NativeLanguage|Seniority,TeluguLang|Junior,50.0,0.0,0.52,0.5143,0.72,0.6,0.88
2,66,NativeLanguage|Domain,EnglishLang|PlatformEng,50.0,0.0,0.56,0.5385,0.84,0.6562,0.92
2,67,NativeLanguage|Priority,GermanLang|Testability,50.0,0.0,0.56,0.5385,0.84,0.6562,0.92
2,68,NativeLanguage|Standard,TeluguLang|PeerApproved,50.0,0.0,0.54,0.5278,0.76,0.623,0.9
2,69,NativeLanguage|Module,PolishLang|APIModule,50.0,0.0,0.54,0.5278,0.76,0.623,0.9
2,7,Gender|ReviewStyle,PreferNotToSay|Collaborative,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,70,AgeRange|ReviewStyle,MiddleAged|Concise,50.0,0.0,0.54,0.5238,0.88,0.6567,0.94
2,71,AgeRange|Role,LateCareerAdult|SoftwareReviewer,50.0,0.0,0.56,0.5385,0.84,0.6562,0.84
2,72,AgeRange|Goal,Elderly|MaintainableCode,50.0,0.0,0.58,0.5476,0.92,0.6866,0.9
2,73,AgeRange|Seniority,Aged|Mid,50.0,0.0,0.58,0.55,0.88,0.6769,0.9
2,74,AgeRange|Domain,Elderly|Embedded,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,75,AgeRange|Priority,Elderly|Portability,50.0,0.0,0.52,0.5135,0.76,0.6129,0.92
2,76,AgeRange|Standard,LateCareerAdult|PeerApproved,50.0,0.0,0.54,0.5227,0.92,0.6667,0.9
2,77,AgeRange|Module,Aged|APIModule,50.0,0.0,0.54,0.5278,0.76,0.623,0.9
2,78,ReviewStyle|Role,Collaborative|CodeOwner,50.0,0.0,0.54,0.525,0.84,0.6462,0.9
2,79,ReviewStyle|Goal,Concise|ReadableCode,50.0,0.0,0.56,0.5333,0.96,0.6857,0.88
2,8,Gender|Role,TwoSpirit|SoftwareReviewer,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,80,ReviewStyle|Seniority,Collaborative|Mid,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
2,81,ReviewStyle|Domain,Supportive|DevOps,50.0,0.0,0.52,0.5135,0.76,0.6129,0.88
2,82,ReviewStyle|Priority,Supportive|Performance,50.0,0.0,0.5,0.5,0.76,0.6032,0.9
2,83,ReviewStyle|Standard,Collaborative|SecurityGatePassed,50.0,0.0,0.52,0.5238,0.44,0.4783,0.6
2,84,ReviewStyle|Module,BigPicture|UserProfileModule,50.0,0.0,0.56,0.5405,0.8,0.6452,0.92
2,85,Role|Goal,QAChecker|WellDocumentedCode,50.0,0.0,0.54,0.5208,1.0,0.6849,0.86
2,86,Role|Seniority,CodeOwner|Intern,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,87,Role|Domain,Triager|Backend,50.0,0.0,0.54,0.5278,0.76,0.623,0.9
2,88,Role|Priority,SoftwareReviewer|Testability,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,89,Role|Standard,Reviewer|PeerApproved,50.0,0.0,0.54,0.525,0.84,0.6462,0.9
2,9,Gender|Goal,PreferNotToSay|MaintainableCode,50.0,0.0,0.6,0.5581,0.96,0.7059,0.88
2,90,Role|Module,CodeOwner|DatabaseModule,50.0,0.0,0.48,0.4865,0.72,0.5806,0.92
2,91,Goal|Seniority,FastDelivery|Staff,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,92,Goal|Domain,MaintainableCode|Embedded,50.0,0.0,0.56,0.5366,0.88,0.6667,0.92
2,93,Goal|Priority,FastDelivery|Testability,50.0,0.0,0.56,0.5385,0.84,0.6562,0.88
2,94,Goal|Standard,ReadableCode|SecurityGatePassed,50.0,0.0,0.52,0.5238,0.44,0.4783,0.6
2,95,Goal|Module,MaintainableCode|AuthenticationModule,50.0,0.0,0.46,0.4688,0.6,0.5263,0.82
2,96,Seniority|Domain,Senior|DevOps,50.0,0.0,0.5,0.5,0.84,0.6269,0.94
2,97,Seniority|Priority,Senior|Scalability,50.0,0.0,0.54,0.5278,0.76,0.623,0.9
2,98,Seniority|Standard,Staff|PeerApproved,50.0,0.0,0.52,0.5122,0.84,0.6364,0.88
2,99,Seniority|Module,Intern|AuthenticationModule,50.0,0.0,0.48,0.4848,0.64,0.5517,0.84
