k,combo_id,combo_attrs,combo_values,n,unparsed,accuracy,precision,recall,f1,pass_rate
1,,Priority,SecurityPriority,50.0,0.0,0.5,0.5,0.12,0.1935,0.44
1,,Priority,Testability,50.0,0.0,0.42,0.4286,0.48,0.4528,0.72
1,,Race,Asian,50.0,0.0,0.42,0.4091,0.36,0.383,0.76
1,,Race,Latino,50.0,0.0,0.46,0.4615,0.48,0.4706,0.8
1,,Race,MiddleEasternOrNorthAfrican,50.0,0.0,0.44,0.4211,0.32,0.3636,0.7
1,,Race,NativeHawaiian,50.0,0.0,0.38,0.35,0.28,0.3111,0.68
1,,Race,White,50.0,0.0,0.54,0.5625,0.36,0.439,0.64
1,,ReviewStyle,BigPicture,50.0,0.0,0.5,0.5,0.44,0.4681,0.76
1,,ReviewStyle,Collaborative,50.0,0.0,0.42,0.4286,0.48,0.4528,0.8
1,,ReviewStyle,Concise,50.0,0.0,0.4,0.4,0.4,0.4,0.82
1,,ReviewStyle,Nitpicky,50.0,0.0,0.46,0.4706,0.64,0.5424,0.84
1,,ReviewStyle,Supportive,50.0,0.0,0.44,0.4211,0.32,0.3636,0.7
1,,Role,CodeOwner,50.0,0.0,0.48,0.4839,0.6,0.5357,0.86
1,,Role,QAChecker,50.0,0.0,0.4,0.4242,0.56,0.4828,0.86
1,,Role,Reviewer,50.0,0.0,0.4,0.4074,0.44,0.4231,0.86
1,,Role,SoftwareReviewer,50.0,0.0,0.44,0.4516,0.56,0.5,0.86
1,,Role,Triager,50.0,0.0,0.48,0.4815,0.52,0.5,0.78
1,,Seniority,Intern,50.0,0.0,0.48,0.4828,0.56,0.5185,0.78
1,,Seniority,Junior,50.0,0.0,0.42,0.4333,0.52,0.4727,0.84
1,,Seniority,Mid,50.0,0.0,0.44,0.44,0.44,0.44,0.82
1,,Seniority,Senior,50.0,0.0,0.42,0.4375,0.56,0.4912,0.84
1,,Seniority,Staff,50.0,0.0,0.44,0.4444,0.48,0.4615,0.82
1,,Standard,CIPassed,50.0,0.0,0.32,0.32,0.32,0.32,0.78
1,,Standard,MergeApproved,50.0,0.0,0.44,0.4545,0.6,0.5172,0.86
1,,Standard,PeerApproved,50.0,0.0,0.4,0.4194,0.52,0.4643,0.86
1,,Standard,SecurityGatePassed,50.0,0.0,0.5,0.5,0.2,0.2857,0.52
1,,Standard,StyleGuideFollowed,50.0,0.0,0.48,0.4865,0.72,0.5806,0.82
