snippet_idx,persona_row_id,k,combo_id,combo_attrs,combo_values,Gender,Race,Ethnicity,Nationality,Culture,NativeLanguage,AgeRange,ReviewStyle,Role,Goal,Seniority,Domain,Priority,Standard,Module,ground_truth,predicted_label,raw_response
25,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
26,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
27,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
28,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
29,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
30,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
31,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
32,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
33,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
34,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
35,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
36,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
37,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
38,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
39,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
40,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
41,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
42,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,0,LABEL: 0
43,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
44,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
45,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
46,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,0,LABEL: 0
47,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
48,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
49,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,0,LABEL: 0
0,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
1,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,0,LABEL: 0
2,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
3,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
4,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
5,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,0,LABEL: 0
6,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
7,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
8,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
9,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
10,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
11,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
12,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
13,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
14,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,0,LABEL: 0
15,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
16,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
17,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
18,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
19,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,0,LABEL: 0
20,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
21,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
22,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
23,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,0,LABEL: 0
24,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
25,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
26,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
27,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
28,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
29,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
30,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
31,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
32,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
33,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
34,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
35,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
36,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
37,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
38,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
39,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
40,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
41,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
42,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,0,LABEL: 0
43,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,1,LABEL: 1
44,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
45,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
46,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,0,0,LABEL: 0
47,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
48,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
49,2,2,2,Gender|Ethnicity,Demigender|BlackCaribbean,Demigender,,BlackCaribbean,,,,,,,,,,,,,1,1,LABEL: 1
0,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
1,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,0,LABEL: 0
2,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
3,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
4,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,0,LABEL: 0
5,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,0,LABEL: 0
6,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,0,LABEL: 0
7,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
8,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
9,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
10,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
11,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
12,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
13,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
14,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,0,LABEL: 0
15,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
16,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,0,LABEL: 0
17,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
18,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
19,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,0,LABEL: 0
20,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
21,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
22,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
23,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,0,LABEL: 0
24,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
25,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
26,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
27,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
28,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
29,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
30,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
31,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,0,LABEL: 0
32,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
33,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
34,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
35,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
36,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
37,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,0,LABEL: 0
38,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
39,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
40,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,0,LABEL: 0
41,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
42,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,0,LABEL: 0
43,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,1,LABEL: 1
44,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
45,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
46,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,0,0,LABEL: 0
47,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
48,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,1,LABEL: 1
49,3,2,3,Gender|Nationality,PreferNotToSay|Danish,PreferNotToSay,,,Danish,,,,,,,,,,,,1,0,LABEL: 0
0,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
1,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,0,LABEL: 0
2,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
3,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
4,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,0,LABEL: 0
5,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,0,LABEL: 0
6,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
7,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
8,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
9,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
10,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
11,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
12,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
13,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
14,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,0,LABEL: 0
15,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
16,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,0,LABEL: 0
17,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
18,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
19,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,0,LABEL: 0
20,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
21,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
22,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
23,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,0,LABEL: 0
24,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
25,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
26,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
27,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
28,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
29,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
30,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
31,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,0,LABEL: 0
32,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
33,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
34,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
35,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
36,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
37,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,0,LABEL: 0
38,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
39,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
40,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,0,LABEL: 0
41,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
42,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,0,LABEL: 0
43,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,1,LABEL: 1
44,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
45,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
46,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,0,0,LABEL: 0
47,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
48,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
49,4,2,4,Gender|Culture,TwoSpirit|ThaiCulture,TwoSpirit,,,,ThaiCulture,,,,,,,,,,,1,1,LABEL: 1
0,5,2,5,Gender|NativeLanguage,NonBinary|PolishLang,NonBinary,,,,,PolishLang,,,,,,,,,,1,1,LABEL: 1
