k,combo_id,combo_attrs,combo_values,n,unparsed,accuracy,precision,recall,f1,pass_rate
1,,Race,NativeHawaiian,50.0,0.0,0.54,0.5263,0.8,0.6349,0.94
1,,Race,White,50.0,0.0,0.44,0.4516,0.56,0.5,0.8
1,,ReviewStyle,BigPicture,50.0,0.0,0.56,0.5385,0.84,0.6562,0.92
1,,ReviewStyle,Collaborative,50.0,0.0,0.52,0.5128,0.8,0.625,0.92
1,,ReviewStyle,Concise,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
1,,ReviewStyle,Nitpicky,50.0,0.0,0.52,0.5102,1.0,0.6757,0.84
1,,ReviewStyle,Supportive,50.0,0.0,0.54,0.5278,0.76,0.623,0.86
1,,Role,CodeOwner,50.0,0.0,0.56,0.5385,0.84,0.6562,0.92
1,,Role,QAChecker,50.0,0.0,0.52,0.5128,0.8,0.625,0.88
1,,Role,Reviewer,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
1,,Role,SoftwareReviewer,50.0,0.0,0.58,0.5476,0.92,0.6866,0.9
1,,Role,Triager,50.0,0.0,0.5,0.5,0.68,0.5763,0.86
1,,Seniority,Intern,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
1,,Seniority,Junior,50.0,0.0,0.58,0.5526,0.84,0.6667,0.86
1,,Seniority,Mid,50.0,0.0,0.52,0.5128,0.8,0.625,0.92
1,,Seniority,Senior,50.0,0.0,0.64,0.5854,0.96,0.7273,0.84
1,,Seniority,Staff,50.0,0.0,0.54,0.5278,0.76,0.623,0.86
1,,Standard,CIPassed,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
1,,Standard,MergeApproved,50.0,0.0,0.48,0.4857,0.68,0.5667,0.84
1,,Standard,PeerApproved,50.0,0.0,0.54,0.525,0.84,0.6462,0.94
1,,Standard,SecurityGatePassed,50.0,0.0,0.56,0.6364,0.28,0.3889,0.4
1,,Standard,StyleGuideFollowed,50.0,0.0,0.58,0.5435,1.0,0.7042,0.82
